id,expression,image_id,sent_id,object_name,category_id,attributes,sonnet_success,sonnet_output,sonnet_valid,sonnet_tokens,sonnet_time,sonnet_error,haiku_success,haiku_output,haiku_valid,haiku_tokens,haiku_time,haiku_error,both_successful,both_valid,outputs_identical,sonnet_faster
2388625_6100,The wood chair that is to the left of the pink shirt that is to the right of the table,2388625,6100,chair,783,"['brown', 'wood']",True,"target(X), type(X, chair), expression(hasAttribute, X, wood), expression(leftOf, X, shirt), expression(hasAttribute, shirt, pink), expression(rightOf, shirt, table)",True,162,2.4809000492095947,,True,"target(X), type(X, chair), type(Y, shirt), type(Z, table), expression(material, X, wood), expression(leftOf, X, Y), expression(rightOf, Y, Z)",True,156,1.4133121967315674,,True,True,False,False
2359509_4219,The black cat that is lying on the wood desk,2359509,4219,cat,173,['black'],True,"target(X), type(X, cat), expression(hasAttribute, X, black), expression(on, X, desk), expression(hasAttribute, desk, wood)",True,141,3.138664960861206,,True,"target(X), type(X, cat), expression(hasAttribute, X, black), expression(on, X, desk), expression(hasAttribute, desk, wood), expression(lying, X)",True,147,1.442680835723877,,True,True,False,False
2327496_8095,The brown door that is of the room,2327496,8095,door,462,['brown'],True,"target(X), type(X, door), expression(hasAttribute, X, brown), expression(of, X, room)",True,129,1.6293141841888428,,True,"target(X), type(X, door), expression(of, X, room), expression(hasAttribute, X, brown)",True,129,0.9431118965148926,,True,True,False,False
2364966_14033,The glass bottle that is on the table and to the left of the yellow sauce,2364966,14033,bottle,687,"['glass', 'open']",True,"target(X), type(X, bottle), expression(hasAttribute, X, glass), expression(on, X, table), expression(leftOf, X, sauce), expression(hasAttribute, sauce, yellow)",True,157,1.2868852615356445,,True,"target(X), type(X, bottle), type(X, glass), expression(on, X, table), expression(leftOf, X, sauce), type(sauce, yellow)",True,147,1.132148027420044,,True,True,False,False
2317272_17458,The wood bench that is in front of the gray wall and in front of the wood window,2317272,17458,bench,834,"['brown', 'wood']",True,"target(X), type(X, bench), expression(hasAttribute, X, wood), expression(inFrontOf, X, wall), expression(hasAttribute, wall, gray), expression(inFrontOf, X, window), expression(hasAttribute, window, wood)",True,171,2.3551511764526367,,True,"target(X), type(X, bench), type(X, wood), expression(in_front_of, X, wall), expression(in_front_of, X, window), type(wall, gray), type(window, wood)",True,157,1.2281711101531982,,True,True,False,False
2395343_5243,The surfing person that is in the calm water,2395343,5243,person,792,"['surfing', 'surfing']",True,"target(X), type(X, person), expression(in, X, water), expression(hasAttribute, water, calm)",True,133,1.3640000820159912,,True,"target(X), type(X, person), type(X, surfing), expression(in, X, water), expression(hasAttribute, water, calm)",True,138,0.9687609672546387,,True,True,False,False
2412311_5451,The white shirt that is to the right of the happy man that is to the left of the sign that is on the wall,2412311,5451,shirt,688,['white'],True,"target(X), type(X, shirt), expression(hasAttribute, X, white), expression(rightOf, X, person), expression(hasAttribute, person, happy), expression(leftOf, person, sign), expression(on, sign, wall)",True,175,3.059230089187622,,True,"target(X), type(X, shirt), color(X, white), expression(right_of, X, Y), type(Y, man), expression(happy, Y, true), expression(left_of, Y, Z), type(Z, sign), expression(on, Z, wall)",True,170,1.4133470058441162,,True,True,False,False
2390071_3654,The white plate that is of the white rice,2390071,3654,plate,937,['white'],True,"target(X), type(X, plate), expression(hasAttribute, X, white), expression(nextTo, X, rice), expression(hasAttribute, rice, white)",True,142,1.7798070907592773,,True,"target(X), type(X, plate), expression(of, X, rice), expression(hasAttribute, X, white), expression(hasAttribute, rice, white)",True,141,1.03916597366333,,True,True,False,False
2404668_5716,The black dress that is to the right of the arm,2404668,5716,dress,590,['black'],True,"target(X), type(X, dress), expression(hasAttribute, X, black), expression(rightOf, X, arm)",True,133,1.655531883239746,,True,"target(X), type(X, dress), expression(color, X, black), expression(right_of, X, arm)",True,132,1.138258934020996,,True,True,False,False
713187_11262,the first rock from the left that is large and to the left of gray pavement,713187,11262,rocks,303,['large'],True,"target(X), type(X, rock), expression(hasAttribute, X, large), expression(leftOf, X, pavement), expression(hasAttribute, pavement, gray)",True,151,1.4347119331359863,,True,"target(X), type(X, rock), type(X, large), expression(from, X, left), expression(leftOf, X, pavement), type(pavement, gray)",True,148,1.2558648586273193,,True,True,False,False
2345855_5057,The white toilet that is to the right of the sink that is below the mirror that is on the wall,2345855,5057,toilet,902,"['toilet', 'white']",True,"target(X), type(X, toilet), expression(hasAttribute, X, white), expression(rightOf, X, sink), expression(below, sink, mirror), expression(on, mirror, wall)",True,161,2.533573865890503,,True,"target(X), type(X, toilet), color(X, white), expression(toTheRightOf, X, sink), expression(below, sink, mirror), expression(on, mirror, wall)",True,158,1.28548002243042,,True,True,False,False
