epoch,batch,loss,diff,proof_steps,nb_proofs,query,target
0,0,22.975561141967773,0.9999999998948425,251.0,4.0,"1.0::;(;(;(;(target(X);type(X;~building));expression(~on;~sign;X));expression(~hasProperty;X;~tall));expression(~has;X;~brick)).","('building'; 'bbox2')"
0,1,5.302555084228516,0.9950211437561257,55.0,4.0,"1.0::;(;(;(target(X);type(X;~man));expression(~wearing;X;~shirt));expression(~hasAttribute;X;~shirt)).","('man'; 'bbox3')"
0,2,0.0,0.0,40.0,4.0,"1.0::;(;(;(target(X);type(X;~road));expression(~parkedOn;~car;X));expression(~parkedOn;~car;X)).","('road'; 'bbox4')"
0,3,2.06115369216775e-09,2.061153622438558e-09,6.0,0.0,"0.0::;(;(;(target(X);type(X;~road));expression(~parkedOn;~car;X));expression(~parkedOn;~car;X)).","('building'; None)"
0,4,0.0,0.0,26.0,4.0,"1.0::;(;(target(X);type(X;~chain));expression(~wears;~girl;X)).","('chain'; 'bbox3')"
0,5,13.1964693069458,0.9999981428533494,17.0,3.0,"1.0::;(;(target(X);type(X;~lamp));expression(~hasAttribute;X;~tall)).","('lamp'; 'bbox5')"
0,6,17.08819580078125,0.9999999620954925,17.0,3.0,"1.0::;(;(target(X);type(X;~box));expression(~hasProperty;X;~empty)).","('box'; 'bbox9')"
0,7,18.628320693969727,0.9999999918750048,17.0,3.0,"1.0::;(;(target(X);type(X;~desk));expression(~hasAttribute;X;~browned)).","('desk'; 'bbox2')"
0,8,6.487823611678323e-10,6.487823332501553e-10,17.0,3.0,"0.0::;(;(target(X);type(X;~desk));expression(~hasAttribute;X;~browned)).","('color'; 'bbox7')"
0,9,15.331161499023438,0.9999997803348508,17.0,3.0,"1.0::;(;(target(X);type(X;~light));expression(~hasAttribute;X;~on)).","('light'; 'bbox6')"
0,10,0.0,0.0,26.0,4.0,"1.0::;(;(target(X);type(X;~bowl));expression(~on;X;~counter)).","('bowl'; 'bbox4')"
0,11,8.710250767762773e-06,8.710212867135415e-06,27.0,4.0,"0.0::;(;(target(X);type(X;~bowl));expression(~on;X;~counter)).","('food'; 'bbox7')"
0,12,20.0,0.9999999979388464,7.0,0.0,"1.0::;(;(;(;(target(X);type(X;~desk));expression(~onTopOf;~pen;X));expression(~onTopOf;~written;~book));expression(~has;~book;~open)).","('desk'; None)"
0,13,0.0,0.0,108.0,4.0,"1.0::;(;(;(;(target(X);type(X;~front));expression(~in;~cd;X));expression(~in;~cd;~desk));expression(~on;~cup;~desk)).","('front'; 'bbox10')"
0,14,6.942861546122003e-06,6.9428376217932e-06,158.0,4.0,"0.0::;(;(;(;(target(X);type(X;~front));expression(~in;~cd;X));expression(~in;~cd;~desk));expression(~on;~cup;~desk)).","('book'; 'bbox11')"
0,15,0.0,0.0,54.0,4.0,"1.0::;(;(;(;(target(X);type(X;~computer));expression(~on;X;~desk));expression(~on;~keyboard;~desk));expression(~under;~tower;~desk)).","('computer'; 'bbox3')"
0,16,5.073789596557617,0.9937413426428183,20.0,4.0,"1.0::;(;(target(X);type(X;~desk));expression(~on;~calculator;X)).","('desk'; 'bbox2')"
0,17,0.0,0.0,32.0,4.0,"1.0::;(;(target(X);type(X;~desk));expression(~on;~cup;X)).","('desk'; 'bbox5')"
0,18,9.260311126708984,0.9999048742756134,32.0,4.0,"1.0::;(;(target(X);type(X;~coat));expression(~hasAttribute;X;~hanging)).","('coat'; 'bbox2')"
0,19,5.760758399963379,0.9968512772984922,32.0,4.0,"1.0::;(;(target(X);type(X;~cup));expression(~along;X;~desk)).","('cup'; 'bbox4')"
