id,expression,image_id,sent_id,object_name,category_id,attributes,sonnet_success,sonnet_output,sonnet_valid,sonnet_tokens,sonnet_time,sonnet_error,haiku_success,haiku_output,haiku_valid,haiku_tokens,haiku_time,haiku_error,both_successful,both_valid,outputs_identical,sonnet_faster
2388625_6100,The wood chair that is to the left of the pink shirt that is to the right of the table,2388625,6100,chair,783,"['brown', 'wood']",True,"target(X), type(X, chair), expression(hasAttribute, X, wood), expression(leftOf, X, shirt), expression(hasAttribute, shirt, pink), expression(rightOf, shirt, table)",True,162,4.817735910415649,,True,"target(X), type(X, chair), type(Y, shirt), type(Z, table), expression(made_of, X, wood), expression(left_of, X, Y), expression(right_of, Y, Z), expression(hasAttribute, Y, pink)",True,165,1.5417909622192383,,True,True,False,False
2359509_4219,The black cat that is lying on the wood desk,2359509,4219,cat,173,['black'],True,"target(X), type(X, cat), expression(hasAttribute, X, black), expression(on, X, desk), expression(hasAttribute, desk, wood)",True,141,3.1215858459472656,,True,"target(X), type(X, cat), expression(hasAttribute, X, black), expression(on, X, desk), expression(hasAttribute, desk, wood), expression(lying, X)",True,147,1.3483808040618896,,True,True,False,False
2327496_8095,The brown door that is of the room,2327496,8095,door,462,['brown'],True,"target(X), type(X, door), expression(hasAttribute, X, brown), expression(of, X, room)",True,129,1.9217300415039062,,True,"target(X), type(X, door), expression(of, X, room), expression(hasAttribute, X, brown)",True,129,0.9735281467437744,,True,True,False,False
2364966_14033,The glass bottle that is on the table and to the left of the yellow sauce,2364966,14033,bottle,687,"['glass', 'open']",True,"target(X), type(X, bottle), expression(hasAttribute, X, glass), expression(on, X, table), expression(leftOf, X, sauce), expression(hasAttribute, sauce, yellow)",True,157,2.738588809967041,,True,"target(X), type(X, bottle), type(X, glass), expression(on, X, table), expression(leftOf, X, sauce), type(sauce, yellow)",True,147,1.5214390754699707,,True,True,False,False
2317272_17458,The wood bench that is in front of the gray wall and in front of the wood window,2317272,17458,bench,834,"['brown', 'wood']",True,"target(X), type(X, bench), expression(hasAttribute, X, wood), expression(inFrontOf, X, wall), expression(hasAttribute, wall, gray), expression(inFrontOf, X, window), expression(hasAttribute, window, wood)",True,171,3.8546180725097656,,True,"target(X), type(X, bench), type(X, wood), expression(in_front_of, X, wall), expression(in_front_of, X, window), type(wall, gray), type(window, wood)",True,157,1.29746413230896,,True,True,False,False
2395343_5243,The surfing person that is in the calm water,2395343,5243,person,792,"['surfing', 'surfing']",True,"target(X), type(X, person), expression(in, X, water), expression(hasAttribute, water, calm), expression(hasAttribute, X, surfing)",True,143,2.9108378887176514,,True,"target(X), type(X, person), type(X, surfing), expression(in, X, water), expression(hasAttribute, water, calm)",True,138,1.3424181938171387,,True,True,False,False
2412311_5451,The white shirt that is to the right of the happy man that is to the left of the sign that is on the wall,2412311,5451,shirt,688,['white'],True,"target(X), type(X, shirt), expression(hasAttribute, X, white), expression(rightOf, X, person), expression(hasAttribute, person, happy), expression(leftOf, person, sign), expression(on, sign, wall)",True,175,5.135313987731934,,True,"target(X), type(X, shirt), color(X, white), expression(right_of, X, Y), type(Y, man), expression(happy, Y, true), expression(left_of, Y, Z), type(Z, sign), expression(on, Z, wall)",True,170,1.5486469268798828,,True,True,False,False
2390071_3654,The white plate that is of the white rice,2390071,3654,plate,937,['white'],True,"target(X), type(X, plate), expression(hasAttribute, X, white), expression(of, X, rice), expression(hasAttribute, rice, white)",True,141,1.855431079864502,,True,"target(X), type(X, plate), expression(of, X, rice), expression(hasAttribute, X, white), expression(hasAttribute, rice, white)",True,141,1.1393580436706543,,True,True,False,False
2404668_5716,The black dress that is to the right of the arm,2404668,5716,dress,590,['black'],True,"target(X), type(X, dress), expression(hasAttribute, X, black), expression(rightOf, X, arm)",True,133,2.5791547298431396,,True,"target(X), type(X, dress), expression(color, X, black), expression(right_of, X, arm)",True,132,0.9393980503082275,,True,True,False,False
713187_11262,the first rock from the left that is large and to the left of gray pavement,713187,11262,rocks,303,['large'],True,"target(X), type(X, rock), expression(hasPosition, X, left), expression(hasAttribute, X, large), expression(leftOf, X, pavement), expression(hasAttribute, pavement, gray)",True,160,2.5751571655273438,,True,"target(X), type(X, rock), type(X, large), expression(from, X, left), expression(leftOf, X, pavement), type(pavement, gray)",True,148,1.406069040298462,,True,True,False,False
2345855_5057,The white toilet that is to the right of the sink that is below the mirror that is on the wall,2345855,5057,toilet,902,"['toilet', 'white']",True,"target(X), type(X, toilet), expression(hasAttribute, X, white), expression(rightOf, X, sink), expression(below, sink, mirror), expression(on, mirror, wall)",True,161,2.816720962524414,,True,"target(X), type(X, toilet), expression(white, X, white), expression(toTheRightOf, X, sink), expression(below, sink, mirror), expression(on, mirror, wall)",True,161,1.3697807788848877,,True,True,False,False
2334526_5848,The tennis shoe that is on the floor,2334526,5848,shoe,592,"['white', 'tennis']",True,"target(X), type(X, shoe), expression(hasAttribute, X, tennis), expression(on, X, floor)",True,130,2.4592888355255127,,True,"target(X), type(X, shoe), type(shoe, tennis), expression(on, X, floor)",True,126,1.0186123847961426,,True,True,False,False
2403230_3389,The blond woman that is holding the clear glass,2403230,3389,woman,162,"['young', 'posing', 'blond', 'smiling', 'happy']",True,"target(X), type(X, woman), expression(hasAttribute, X, blond), expression(holding, X, glass), expression(hasAttribute, glass, clear)",True,144,3.2077248096466064,,True,"target(X), type(X, woman), expression(hasAttribute, X, blond), expression(holding, X, Y), type(Y, glass), expression(hasAttribute, Y, clear)",True,146,1.4778261184692383,,True,True,False,False
2414061_4271,The sitting cat that is in front of the brown fence,2414061,4271,cat,173,"['black', 'sitting']",True,"target(X), type(X, cat), expression(hasAttribute, X, sitting), expression(inFrontOf, X, fence), expression(hasAttribute, fence, brown)",True,145,1.614128828048706,,True,"target(X), type(X, cat), expression(sitting, X, null), expression(in_front_of, X, fence), type(fence, fence), expression(hasAttribute, fence, brown)",True,149,1.4771392345428467,,True,True,False,False
2346651_7759,The blue jean that is to the right of the hand,2346651,7759,jeans,618,['blue'],True,"target(X), type(X, jean), expression(hasAttribute, X, blue), expression(rightOf, X, hand)",True,133,2.8747498989105225,,True,"target(X), type(X, jean), color(X, blue), expression(toTheRightOf, X, hand)",True,129,0.992354154586792,,True,True,False,False
2403093_8123,The open door that is of the indoors oven,2403093,8123,door,462,['open'],True,"target(X), type(X, door), expression(hasAttribute, X, open), expression(from, X, oven), expression(hasAttribute, oven, indoors)",True,141,3.3359527587890625,,True,"target(X), type(X, door), expression(of, X, oven), expression(indoors, oven, true)",True,130,1.1076531410217285,,True,True,False,False
2317536_9150,cabinet on the left that is wood and to the right of refrigerator,2317536,9150,cabinet,918,"['brown', 'wood']",True,"target(X), type(X, cabinet), expression(hasPosition, X, left), expression(hasAttribute, X, wood), expression(rightOf, X, refrigerator)",True,149,1.4757099151611328,,True,"target(X), type(X, cabinet), expression(on, X, left), expression(material, X, wood), expression(rightOf, X, refrigerator)",True,146,1.242156982421875,,True,True,False,False
2369841_3865,The framed picture that is on the yellow wall,2369841,3865,picture,933,"['black', 'framed']",True,"target(X), type(X, picture), expression(hasAttribute, X, framed), expression(on, X, wall), expression(hasAttribute, wall, yellow)",True,143,6.439651727676392,,True,"target(X), type(X, picture), expression(on, X, wall), expression(hasAttribute, picture, framed), expression(hasAttribute, wall, yellow)",True,144,1.3455967903137207,,True,True,False,False
2412511_3785,The standing bird that is by the dirty water,2412511,3785,bird,267,['standing'],True,"target(X), type(X, bird), expression(hasAttribute, X, standing), expression(near, X, water), expression(hasAttribute, water, dirty)",True,143,1.837270975112915,,True,"target(X), type(X, bird), expression(standing, X, null), expression(by, X, water), expression(dirty, water, null)",True,139,1.1574201583862305,,True,True,False,False
713397_16513,The white desk that is above the trash can and behind the black chair,713397,16513,desk,768,['white'],True,"target(X), type(X, desk), expression(hasAttribute, X, white), expression(above, X, trash_can), expression(behind, X, chair), expression(hasAttribute, chair, black)",True,157,2.43097186088562,,True,"target(X), type(X, desk), type(Y, trashCan), type(Z, chair), expression(white, X), expression(above, X, Y), expression(behind, X, Z), expression(black, Z)",True,155,1.3864068984985352,,True,True,False,False
2385677_15768,The wood table that is below the white sink and below the mirror,2385677,15768,table,741,"['brown', 'wood']",True,"target(X), type(X, table), expression(hasAttribute, X, wood), expression(under, X, sink), expression(hasAttribute, sink, white), expression(under, X, mirror)",True,155,4.929602146148682,,True,"target(X), type(X, table), type(X, wood), expression(below, X, sink), type(sink, white), expression(below, X, mirror)",True,145,1.2024641036987305,,True,True,False,False
2384329_6063,The wood chair that is in front of the floor,2384329,6063,chair,783,"['brown', 'wood']",True,"target(X), type(X, chair), expression(hasAttribute, X, wood), expression(inFrontOf, X, floor)",True,134,2.414055824279785,,True,"target(X), type(X, chair), type(X, wood), expression(in_front_of, X, floor)",True,129,0.9246120452880859,,True,True,False,False
