subject,relation,object
sun,hypernym,light
sun,synonym,sunlight
sun,synonym,sunshine
sun,hypernym,star
hubcap,hypernym,cap
papers,hypernym,writing
papers,hyponym,platform
papers,hyponym,copyright
papers,hyponym,enclosure
papers,hypernym,material
papers,hypernym,stuff
papers,hyponym,card
papers,hyponym,sheet
papers,hyponym,cardboard
papers,hyponym,tissue
papers,hyponym,wallpaper
papers,hyponym,pad
papers,hyponym,tablet
papers,hyponym,newspaper
papers,synonym,paper
papers,hyponym,rag
papers,synonym,newspaper
papers,partMeronym,column
papers,partMeronym,strip
pilot,hypernym,flyer
pilot,synonym,fender
pilot,partHolonym,locomotive
pilot,partHolonym,engine
family,hypernym,unit
family,synonym,house
family,synonym,home
family,hyponym,couple
family,hyponym,match
family,hypernym,line
family,hyponym,people
family,hyponym,name
family,hyponym,house
puddle,hypernym,water
puddle,synonym,pool
puddle,hypernym,place
puddle,hypernym,spot
symbol,hypernym,signal
symbol,hypernym,sign
symbol,hyponym,item
symbol,hyponym,mark
symbol,hyponym,brand
symbol,hyponym,stain
symbol,hyponym,icon
symbol,hyponym,numeral
symbol,hyponym,number
symbol,hyponym,mantle
symbol,hyponym,nose
symbol,hyponym,marker
symbol,hyponym,marking
symbol,hyponym,emblem
wheels,hypernym,machine
wheels,hyponym,gear
wheels,synonym,wheel
wheels,partMeronym,rim
wheels,synonym,rack
wheels,synonym,bicycle
wheels,synonym,bike
wheels,synonym,cycle
wheels,partMeronym,chain
wheels,partMeronym,handlebar
wheels,partMeronym,saddle
wheels,partMeronym,kickstand
wheels,partMeronym,pedal
litter,hypernym,trash
litter,hyponym,sedan
litter,hypernym,material
litter,hypernym,stuff
litter,synonym,bedding
metal,hyponym,iron
metal,hyponym,tin
metal,hyponym,steel
cuff,hypernym,lap
cuff,partHolonym,leg
cuff,partHolonym,sleeve
cuff,partHolonym,arm
tents,hypernym,shelter
tents,hyponym,canvas
tents,synonym,tent
tents,partMeronym,guy
stadium,hypernym,structure
stadium,hyponym,dome
stadium,hyponym,park
stadium,synonym,bowl
stadium,partMeronym,field
stadium,partMeronym,stand
leaf,hyponym,pad
leaf,hyponym,greenery
leaf,hyponym,pitcher
leaf,hyponym,scale
leaf,hyponym,blade
leaf,synonym,foliage
leaf,hypernym,sheet
leaf,hyponym,page
leaf,hypernym,section
clothes,hypernym,clothing
clothes,synonym,dress
juice,hyponym,gravy
boards,synonym,board
boards,synonym,plank
boards,partMeronym,knot
boards,hypernym,sheet
boards,hyponym,skateboard
boards,hyponym,snowboard
boards,hyponym,surfboard
boards,hyponym,scoreboard
boards,synonym,table
boards,hypernym,display
boards,hypernym,table
boards,hyponym,dashboard
boards,synonym,panel
boards,synonym,card
boards,hypernym,surface
smiling,synonym,smile
radio,partHolonym,radio
radio,partMeronym,radio
t,hypernym,base
t,hypernym,letter
buttons,synonym,button
buttons,hypernym,switch
buttons,hyponym,bell
buttons,hypernym,badge
buttons,hypernym,device
feathers,hyponym,down
feathers,synonym,feather
feathers,partHolonym,bird
feathers,partHolonym,row
wing,partHolonym,bird
wing,partHolonym,bat
wing,hypernym,surface
wing,partMeronym,flap
wing,partHolonym,airplane
wing,partHolonym,plane
wing,hypernym,stage
wing,hypernym,place
wing,hypernym,portion
wing,hypernym,barrier
wing,synonym,fender
wing,partHolonym,car
wing,partHolonym,automobile
wing,partHolonym,machine
wing,partHolonym,building
raspberry,hypernym,berry
raspberry,synonym,bird
tShirt,hypernym,shirt
tShirt,synonym,jersey
underside,hypernym,side
underside,hypernym,face
underside,hyponym,heel
underside,hyponym,sole
underside,hyponym,underbelly
underside,hyponym,base
underside,synonym,bottom
pepperoni,hypernym,sausage
boys,hypernym,male
boys,synonym,boy
boys,hypernym,man
baseboard,hypernym,molding
lever,hypernym,bar
lever,hyponym,stick
lever,hyponym,key
lever,hyponym,pedal
lever,hypernym,machine
paint,hypernym,coat
paint,hypernym,color
paint,hypernym,space
paint,synonym,key
bread,hyponym,toast
bread,hyponym,bun
bread,hyponym,roll
bread,hyponym,cracker
bread,partHolonym,sandwich
bread,synonym,cabbage
bread,synonym,dough
bread,synonym,lettuce
bread,synonym,sugar
girls,hypernym,woman
girls,hyponym,baby
girls,hyponym,doll
girls,hyponym,skirt
girls,hyponym,bird
girls,synonym,girl
girls,hypernym,female
home,synonym,place
home,hyponym,house
home,partMeronym,kitchen
home,partMeronym,bedroom
home,partMeronym,bathroom
home,hypernym,base
home,hypernym,bag
home,synonym,plate
home,synonym,base
home,hypernym,unit
home,synonym,family
home,synonym,house
condiments,hypernym,seasoning
condiments,hyponym,ketchup
condiments,hyponym,sauce
condiments,hyponym,relish
condiments,hyponym,mustard
condiments,synonym,condiment
kids,hyponym,monkey
kids,hyponym,toddler
kids,synonym,child
kids,synonym,kid
kids,synonym,fry
kids,hypernym,leather
kids,hyponym,baby
kids,hypernym,goat
indicator,hypernym,signal
indicator,hypernym,sign
indicator,hypernym,device
indicator,hyponym,scale
indicator,hyponym,dial
indicator,hypernym,color
house,hypernym,building
house,hypernym,home
house,hyponym,cabin
house,partMeronym,porch
house,hypernym,business
house,hypernym,audience
house,hypernym,family
house,hypernym,part
house,synonym,sign
house,hypernym,unit
house,synonym,family
house,synonym,home
house,partMeronym,circle
house,partMeronym,stage
star,hyponym,sun
star,hypernym,player
star,hypernym,character
cauliflower,partMeronym,cauliflower
cauliflower,partHolonym,cauliflower
clip,synonym,magazine
clip,partHolonym,gun
clip,hypernym,case
clip,synonym,time
glasses,hyponym,goggles
glasses,hyponym,sunglasses
glasses,hyponym,shades
glasses,synonym,eyeglasses
glasses,partMeronym,bridge
glasses,partHolonym,frame
glasses,synonym,glass
glasses,partHolonym,glass
glasses,hypernym,container
glasses,hyponym,pony
glasses,hyponym,bumper
glasses,partMeronym,glass
glasses,synonym,chalk
glasses,synonym,ice
glasses,synonym,trash
glasses,hypernym,mirror
bikes,hyponym,motorbike
bikes,synonym,motorcycle
bikes,synonym,bike
bikes,partMeronym,kickstand
bikes,synonym,bicycle
bikes,synonym,wheel
bikes,synonym,cycle
bikes,partMeronym,chain
bikes,partMeronym,handlebar
bikes,partMeronym,saddle
bikes,partMeronym,pedal
page,hypernym,leaf
tablet,hypernym,slab
tablet,hypernym,paper
tablet,synonym,pad
tablet,hypernym,cake
tablet,hypernym,bar
muffler,partHolonym,exhaust
muffler,hypernym,scarf
muffler,hypernym,device
muffler,hyponym,cushion
fins,hypernym,figure
fins,synonym,5
fins,synonym,fin
fins,hypernym,decoration
fins,hypernym,ornament
fins,partHolonym,car
fins,partHolonym,automobile
fins,partHolonym,machine
fins,hypernym,slat
fins,hypernym,shoe
fins,hypernym,stabilizer
fins,partHolonym,ship
fins,partHolonym,fish
bedding,hyponym,bedspread
bedding,hyponym,quilt
bedding,hyponym,comforter
bedding,hyponym,blanket
bedding,hyponym,cover
bedding,hypernym,material
bedding,hypernym,stuff
bedding,synonym,litter
intersection,hypernym,point
intersection,hyponym,corner
intersection,partHolonym,road
intersection,hypernym,set
post,hypernym,place
post,synonym,station
post,hypernym,business
post,hypernym,line
post,hyponym,chair
post,synonym,office
post,synonym,spot
post,synonym,place
post,hyponym,lamppost
post,hyponym,stump
berries,hyponym,strawberry
berries,hyponym,blueberry
berries,hyponym,raspberry
berries,synonym,berry
berries,partHolonym,berry
berries,hypernym,fruit
berries,partMeronym,berry
melon,hyponym,watermelon
melon,partHolonym,melon
melon,hyponym,cucumber
melon,partMeronym,melon
beverage,hypernym,food
beverage,hypernym,liquid
beverage,hyponym,mixer
beverage,hyponym,cooler
beverage,hyponym,coffee
beverage,hyponym,chocolate
beverage,hyponym,tea
beverage,hyponym,milk
beverage,synonym,drink
veggie,hypernym,produce
veggie,hyponym,asparagus
veggie,hyponym,squash
veggie,hyponym,celery
veggie,hyponym,pumpkin
veggie,hyponym,mushroom
veggie,hyponym,onion
veggie,hyponym,greens
veggie,hyponym,green
veggie,hyponym,cucumber
veggie,synonym,vegetable
veggie,partHolonym,herb
rivet,hypernym,decoration
rivet,hypernym,ornament
rivet,hypernym,pin
magnets,hypernym,device
magnets,synonym,magnet
magnets,partMeronym,pole
chains,synonym,chain
chains,hypernym,unit
chains,hyponym,ring
chains,partHolonym,bicycle
chains,partHolonym,bike
chains,partHolonym,wheel
chains,partHolonym,cycle
chains,hypernym,business
chains,partMeronym,yard
chains,partMeronym,link
chains,synonym,range
chains,hypernym,necklace
chains,synonym,string
cords,hypernym,trouser
cords,hypernym,pant
cords,hypernym,line
cords,hyponym,string
cords,hyponym,lace
cords,hyponym,thread
cords,hyponym,yarn
cords,hyponym,tie
cords,hyponym,lanyard
cords,synonym,cord
cords,hypernym,conductor
cords,hypernym,fabric
cords,hypernym,cloth
cords,hypernym,material
steps,hypernym,stairway
steps,hypernym,staircase
steps,hyponym,ladder
steps,synonym,stairs
steps,hypernym,path
steps,hypernym,track
steps,hyponym,guard
steps,synonym,step
steps,hypernym,support
steps,synonym,stair
steps,partHolonym,stairway
steps,partHolonym,staircase
steps,hypernym,mark
steps,hypernym,print
steps,synonym,footprint
steps,hypernym,block
lighthouse,hypernym,tower
window,hyponym,skylight
window,partMeronym,case
window,partMeronym,pane
window,partMeronym,window
window,partHolonym,building
window,hypernym,opening
window,partHolonym,car
window,partHolonym,automobile
window,partHolonym,machine
window,partHolonym,bus
window,partHolonym,coach
window,hypernym,panel
window,hypernym,gap
window,hypernym,pane
window,partHolonym,window
window,hypernym,display
window,hyponym,foreground
window,hyponym,panel
pigeons,synonym,pigeon
drinks,hypernym,portion
drinks,hyponym,toast
drinks,synonym,drink
drinks,hypernym,food
drinks,hypernym,liquid
drinks,hyponym,mixer
drinks,hyponym,cooler
drinks,hyponym,coffee
drinks,hyponym,chocolate
drinks,hyponym,tea
drinks,hyponym,milk
drinks,synonym,beverage
drinks,hypernym,water
chip,hyponym,scale
chip,hypernym,counter
chip,partHolonym,computer
shoelace,hypernym,lace
shoelace,partHolonym,shoe
weed,hypernym,band
weed,synonym,pot
weed,synonym,grass
weed,synonym,smoke
rail,hypernym,barrier
rail,hyponym,guardrail
rail,hyponym,bar
rail,synonym,railing
rail,partHolonym,handrail
rail,hypernym,railway
rail,hypernym,railroad
rail,hypernym,bar
rail,synonym,track
rail,synonym,rails
rail,synonym,runway
rail,partHolonym,railroad
rail,partHolonym,railway
outfield,partMeronym,right
outfield,partMeronym,center
outfield,partMeronym,left
outfield,partHolonym,diamond
logos,synonym,logo
shorts,hypernym,trouser
shorts,hypernym,pant
shorts,synonym,trunks
shorts,synonym,drawers
shorts,synonym,short
shorts,partHolonym,diamond
candy,hyponym,rock
ramp,hypernym,stairway
ramp,hypernym,staircase
controller,hypernym,person
controller,hypernym,someone
controller,hyponym,valve
controller,hyponym,switch
controller,hyponym,dial
controller,synonym,control
children,hyponym,monkey
children,hyponym,toddler
children,synonym,child
children,synonym,kid
children,synonym,fry
children,hyponym,baby
children,hypernym,person
children,hypernym,someone
children,synonym,baby
arrow,hypernym,mark
arrow,partMeronym,point
arrow,partMeronym,head
doughnuts,synonym,ring
