subject,relation,object
hoop,hypernym,skeleton
hoop,hypernym,frame
hoop,hypernym,band
hoop,hyponym,collar
hoop,hyponym,tire
hoop,hyponym,tyre
hoop,hyponym,rim
hoop,synonym,ring
hoop,part_holonym,barrel
hoop,hypernym,goal
hoop,synonym,basket
sun,hypernym,light
sun,synonym,sunlight
sun,synonym,sunshine
sun,hypernym,star
recliner,hypernym,armchair
hubcap,hypernym,cap
gentleman,hypernym,man
gentleman,synonym,man
buckets,hypernym,vessel
buckets,synonym,bucket
buckets,synonym,pail
skates,synonym,skate
bison,hyponym,buffalo
goods,hypernym,artifact
goods,hyponym,merchandise
goods,hyponym,product
license,hypernym,instrument
papers,hypernym,writing
papers,hyponym,platform
papers,hyponym,instrument
papers,hyponym,copyright
papers,hyponym,enclosure
papers,synonym,document
papers,hypernym,material
papers,hypernym,stuff
papers,hyponym,card
papers,hyponym,sheet
papers,hyponym,cardboard
papers,hyponym,linen
papers,hyponym,tissue
papers,hyponym,wallpaper
papers,hyponym,pad
papers,hyponym,tablet
papers,hyponym,newspaper
papers,synonym,paper
papers,hyponym,rag
papers,synonym,newspaper
papers,part_meronym,column
papers,part_meronym,strip
papers,hypernym,product
algae,hyponym,seaweed
taillights,hypernym,lamp
taillights,synonym,taillight
pilot,hypernym,flyer
pilot,hypernym,model
pilot,synonym,fender
pilot,part_holonym,locomotive
pilot,part_holonym,engine
softball,hypernym,ball
softball,hypernym,baseball
family,hypernym,unit
family,synonym,house
family,synonym,home
family,hyponym,couple
family,hyponym,match
family,hypernym,collection
family,hyponym,stamp
family,hypernym,line
family,hypernym,blood
family,hyponym,people
family,hyponym,name
family,hyponym,house
tier,synonym,level
tier,hypernym,worker
tier,hypernym,rope
tier,hypernym,layer
tier,hypernym,bed
puddle,hypernym,water
puddle,synonym,pool
puddle,hypernym,place
puddle,hypernym,spot
symbol,hypernym,signal
symbol,hypernym,sign
symbol,hyponym,item
symbol,hyponym,mark
symbol,hyponym,brand
symbol,hyponym,stain
symbol,hyponym,award
symbol,hyponym,stamp
symbol,hyponym,icon
symbol,hyponym,numeral
symbol,hyponym,number
symbol,hyponym,mantle
symbol,hyponym,nose
symbol,hyponym,marker
symbol,hyponym,marking
symbol,hyponym,emblem
filling,hypernym,material
filling,hypernym,stuff
filling,hyponym,cement
filling,hypernym,mixture
filling,hypernym,thread
filling,hypernym,yarn
wheels,hypernym,machine
wheels,hyponym,roller
wheels,hyponym,gear
wheels,synonym,wheel
wheels,part_meronym,rim
wheels,synonym,rack
wheels,synonym,bicycle
wheels,synonym,bike
wheels,synonym,cycle
wheels,part_meronym,chain
wheels,part_meronym,handlebar
wheels,part_meronym,saddle
wheels,part_meronym,kickstand
wheels,part_meronym,pedal
litter,hypernym,trash
litter,hyponym,sedan
litter,hypernym,material
litter,hypernym,stuff
litter,synonym,bedding
windscreen,hypernym,screen
windscreen,synonym,windshield
windscreen,part_holonym,airplane
windscreen,part_holonym,aeroplane
windscreen,part_holonym,plane
windscreen,part_holonym,motorboat
metal,hyponym,iron
metal,hyponym,lead
metal,hyponym,tin
metal,hypernym,mixture
metal,hyponym,steel
rest,hypernym,part
rest,hypernym,portion
rest,hypernym,break
rest,hypernym,support
rest,hyponym,headrest
rest,hyponym,armrest
biscuit,hypernym,cake
biscuit,hyponym,snap
biscuit,hyponym,brownie
biscuit,synonym,cookie
cuff,hypernym,lap
cuff,part_holonym,leg
cuff,part_holonym,sleeve
cuff,part_holonym,arm
cuff,hypernym,hamper
tents,hypernym,shelter
tents,hyponym,pavilion
tents,hyponym,marquee
tents,hyponym,canvas
tents,synonym,tent
tents,part_meronym,guy
stadium,hypernym,structure
stadium,hypernym,construction
stadium,hyponym,dome
stadium,hyponym,park
stadium,synonym,bowl
stadium,synonym,arena
stadium,part_meronym,field
stadium,part_meronym,stand
leaf,hyponym,pad
leaf,hyponym,frond
leaf,hyponym,greenery
leaf,hyponym,pitcher
leaf,hyponym,scale
leaf,hyponym,blade
leaf,synonym,foliage
leaf,hypernym,sheet
leaf,hyponym,page
leaf,hypernym,section
clothes,hypernym,clothing
clothes,synonym,dress
sunflowers,hypernym,flower
sunflowers,synonym,sunflower
tattoos,synonym,tattoo
tattoos,hypernym,design
tattoos,hypernym,pattern
tattoos,hypernym,figure
tattoos,hypernym,decoration
midair,hypernym,point
pupil,synonym,student
pupil,hyponym,boarder
eyelash,hypernym,hair
eyelash,part_holonym,eyelid
eyelash,part_holonym,lid
grounds,hypernym,information
grounds,hyponym,sign
grounds,hyponym,lead
grounds,hyponym,track
grounds,hyponym,trail
grounds,hypernym,field
grounds,hyponym,backyard
grounds,hyponym,playground
grounds,hyponym,garden
grounds,synonym,yard
grounds,hypernym,object
grounds,hyponym,plain
grounds,hyponym,field
grounds,hyponym,island
grounds,hyponym,forest
grounds,hyponym,floor
grounds,hyponym,cape
grounds,hyponym,neck
grounds,synonym,land
grounds,synonym,earth
grounds,synonym,ground
grounds,part_holonym,earth
grounds,part_holonym,globe
grounds,hypernym,material
grounds,hypernym,stuff
grounds,hyponym,soil
grounds,hyponym,dirt
grounds,hypernym,foundation
grounds,hypernym,view
grounds,hypernym,scene
grounds,synonym,background
grounds,hyponym,bottom
grounds,hyponym,turf
grounds,synonym,soil
grounds,hypernym,connector
grounds,hypernym,surface
grounds,hyponym,couch
juice,hyponym,gravy
boards,synonym,board
boards,synonym,plank
boards,part_meronym,knot
boards,hypernym,sheet
boards,hyponym,hawk
boards,hyponym,skateboard
boards,hyponym,snowboard
boards,hyponym,surfboard
boards,hyponym,scoreboard
boards,hyponym,pallet
boards,hyponym,wakeboard
boards,synonym,table
boards,hypernym,display
boards,hypernym,table
boards,hyponym,dashboard
boards,synonym,panel
boards,synonym,card
boards,hypernym,surface
squirrel,hypernym,fur
icons,hypernym,symbol
icons,synonym,icon
icons,hyponym,graphic
icons,hyponym,reflection
icons,hyponym,foil
icons,synonym,picture
icons,synonym,image
icons,hypernym,painting
icons,hypernym,picture
smiling,synonym,smile
smiling,synonym,grin
radio,part_holonym,radio
radio,part_meronym,radio
